Disorder,Rate,Year
Clinical-Anxiety,0.18409287,2020
Clinical-Anxiety,0.17451269,2019
Clinical-Anxiety,0.08483809,2018
Clinical-Anxiety,0.07272552,2017
Clinical-Anxiety,0.07112841,2016
Clinical-Depression,0.21227976,2020
Clinical-Depression,0.20496566,2019
Clinical-Depression,0.08483809,2018
Clinical-Depression,0.07272552,2017
Clinical-Depression,0.07112841,2016
Clinical-Dementia,0.0101175,2020
Clinical-Dementia,0.01110689,2019
Clinical-Dementia,0.02939992,2018
Clinical-Dementia,NA,2017
Clinical-Dementia,NA,2016
